HOL,TSB
0,
1,14.3
2,14.4
3,14.6
4,14.7
5,14.8
6,15
7,15.1
8,15.2
9,15.4
10,15.5
11,15.6
12,15.7
13,15.9
14,16
15,16.1
16,16.2
17,16.4
18,16.5
19,16.6
20,16.7
21,16.8
22,16.8
23,17
24,17.2
25,17.3
26,17.4
27,17.5
28,17.7
29,17.8
30,17.9
31,18
32,18.1
33,18.2
34,18.3
35,18.4
36,18.5
37,18.6
38,18.7
39,18.8
40,18.9
41,19
42,19.1
43,19.2
44,19.3
43,19.4
46,19.4
47,19.5
48,19.7
49,19.8
50,19.9
51,20
52,20.1
53,20.1
54,20.2
55,20.3
56,20.4
57,20.5
58,20.6
59,20.7
60,20.7
61,20.8
62,20.9
63,21
64,21.1
65,21.1
66,21.2
67,21.3
68,21.4
69,21.4
70,21.4
71,21.5
72,21.7
73,21.7
74,21.8
75,21.9
76,21.9
77,22
78,22.1
79,22.1
80,22.2
81,22.3
82,22.3
83,22.4
84,22.5
85,22.5
86,22.6
87,22.6
88,22.7
89,22.8
90,22.8
91,22.9
92,22.9
93,23
94,23
95,23
96,23.1
97,23.1
98,23.1
99,23.1
100,23.1
101,23.1
102,23.1
103,23.1
104,23.1
105,23.1
106,23.1
107,23.1
108,23.2
109,23.2
110,23.2
111,23.2
112,23.2
113,23.2
114,23.2
115,23.2
116,23.2
117,23.2
118,23.2
119,23.2
120,23.2
121,23.2
122,23.2
123,23.2
124,23.3
125,23.3
126,23.3
127,23.3
128,23.3
129,23.3
130,23.3
131,23.3
132,23.3
133,23.3
134,23.3
135,23.3
136,23.3
137,23.3
138,23.3
139,23.3
140,23.3
141,23.4
142,23.4
143,23.4
144,23.4
145,23.4
146,23.4
147,23.4
148,23.4
149,23.4
150,23.4
151,23.4
152,23.4
153,23.4
154,23.4
155,23.4
156,23.4
157,23.4
158,23.5
159,23.5
160,23.5
161,23.5
162,23.5
163,23.5
164,23.5
165,23.5
166,23.5
167,23.5
168,23.5
169,23.5
170,23.5
171,23.5
172,23.5
173,23.5
174,23.5
175,23.5
176,23.5
177,23.5
178,23.5
179,23.5
180,23.5
181,23.5
182,23.5
183,23.5
184,23.5
185,23.5
186,23.5
187,23.5
188,23.5
189,23.5
190,23.5
191,23.5
192,23.5
193,23.5
194,23.5
195,23.5
196,23.5
197,23.5
198,23.5
199,23.5
200,23.5
201,23.5
202,23.5
203,23.5
204,23.5
205,23.5
206,23.5
207,23.5
208,23.5
209,23.5
210,23.5
211,23.5
212,23.5
213,23.5
214,23.5
215,23.5
216,23.5
217,23.5
218,23.5
219,23.5
220,23.5
221,23.5
222,23.5
223,23.5
224,23.5
225,23.5
226,23.5
227,23.5
228,23.5
229,23.5
230,23.5
231,23.5
232,23.5
233,23.5
234,23.5
235,23.5
236,23.5
237,23.5
238,23.5
239,23.5
240,23.5
241,23.5
242,23.5
243,23.5
244,23.5
245,23.5
246,23.5
247,23.5
248,23.5
249,23.5
250,23.5
251,23.5
252,23.5
253,23.5
254,23.5
255,23.5
256,23.5
257,23.5
258,23.5
259,23.5
260,23.5
261,23.5
262,23.5
263,23.5
264,23.5
265,23.5
266,23.5
267,23.5
268,23.5
269,23.5
270,23.5
271,23.5
272,23.5
273,23.5
274,23.5
275,23.5
276,23.5
277,23.5
278,23.5
279,23.5
280,23.5
281,23.5
282,23.5
283,23.5
284,23.5
285,23.5
286,23.5
287,23.5
288,23.5
289,23.5
290,23.5
291,23.5
292,23.5
293,23.5
294,23.5
295,23.5
296,23.5
297,23.5
298,23.5
299,23.5
300,23.5
301,23.5
302,23.5
303,23.5
304,23.5
305,23.5
306,23.5
307,23.5
308,23.5
309,23.5
310,23.5
311,23.5
312,23.5
313,23.5
314,23.5
315,23.5
316,23.5
317,23.5
318,23.5
319,23.5
320,23.5
321,23.5
322,23.5
323,23.5
324,23.5
325,23.5
326,23.5
327,23.5
328,23.5
329,23.5
330,23.5
331,23.5
332,23.5
333,23.5
334,23.5
335,23.5
336,23.5
