HOL,TSB 
0,
1,17
2,17.1
3,17.3
4,17.5
5,17.6
6,17.8
7,17.9
8,18.1
9,18.2
10,18.4
11,18.5
12,18.7
13,18.8
14,18.9
15,19.1
16,19.2
17,19.4
18,19.6
19,19.8
20,19.8
21,19.9
22,19.9
23,20.1
24,20.3
25,20.5
26,20.6
27,20.7
28,20.8
29,21
30,21.1
31,21.2
32,21.3
33,21.5
34,21.6
35,21.7
36,21.8
37,21.9
38,22.1
39,22.2
40,22.3
41,22.4
42,22.5
43,22.6
44,22.7
45,22.8
46,22.8
47,22.9
48,23.1
49,23.2
50,23.3
51,23.4
52,23.5
53,23.6
54,23.7
55,23.8
56,23.9
57,24
58,24.1
59,24.2
60,24.3
61,24.4
62,24.5
63,24.5
64,24.6
65,24.7
66,24.8
67,24.9
68,24.9
69,25
70,25
71,25.1
72,25.2
73,25.3
74,25.4
75,25.5
76,25.5
77,25.6
78,25.7
79,25.7
80,25.8
81,25.8
82,25.9
83,26
84,26
85,26.1
86,26.1
87,26.2
88,26.2
89,26.3
90,26.3
91,26.4
92,26.4
93,26.5
94,26.5
95,26.5
96,26.6
97,26.6
98,26.6
99,26.6
100,26.6
101,26.6
102,26.6
103,26.6
104,26.6
105,26.6
106,26.6
107,26.7
108,26.7
109,26.7
110,26.7
111,26.7
112,26.7
113,26.7
114,26.7
115,26.7
116,26.7
117,26.7
118,26.7
119,26.7
120,26.7
121,26.7
122,26.8
123,26.8
124,26.8
125,26.8
126,26.8
127,26.8
128,26.8
129,26.8
130,26.8
131,26.8
132,26.8
133,26.8
134,26.8
135,26.8
136,26.8
137,26.8
138,26.9
139,26.9
140,26.9
141,26.9
142,26.9
143,26.9
144,26.9
145,26.9
146,26.9
147,26.9
148,26.9
149,26.9
150,26.9
151,26.9
152,26.9
153,26.9
154,27
155,27
156,27
157,27
158,27
159,27
160,27
161,27
162,27
163,27
164,27
165,27
166,27
167,27
168,27
169,27
170,27
171,27
172,27
173,27
174,27
175,27
176,27
177,27
178,27
179,27
180,27
181,27
182,27
183,27
184,27
185,27
186,27
187,27
188,27
189,27
190,27
191,27
192,27
193,27
194,27
195,27
196,27
197,27
198,27
199,27
200,27
201,27
202,27
203,27
204,27
205,27
206,27
207,27
208,27
209,27
210,27
211,27
212,27
213,27
214,27
215,27
216,27
217,27
218,27
219,27
220,27
221,27
222,27
223,27
224,27
225,27
226,27
227,27
228,27
229,27
230,27
231,27
232,27
233,27
234,27
235,27
236,27
237,27
238,27
239,27
240,27
241,27
242,27
243,27
244,27
245,27
246,27
247,27
248,27
249,27
250,27
251,27
252,27
253,27
254,27
255,27
256,27
257,27
258,27
259,27
260,27
261,27
262,27
263,27
264,27
265,27
266,27
267,27
268,27
269,27
270,27
271,27
272,27
273,27
274,27
275,27
276,27
277,27
278,27
279,27
280,27
281,27
282,27
283,27
284,27
285,27
286,27
287,27
288,27
289,27
290,27
291,27
292,27
293,27
294,27
295,27
296,27
297,27
298,27
299,27
300,27
301,27
302,27
303,27
304,27
305,27
306,27
307,27
308,27
309,27
310,27
311,27
312,27
313,27
314,27
315,27
316,27
317,27
318,27
319,27
320,27
321,27
322,27
323,27
324,27
325,27
326,27
327,27
328,27
329,27
330,27
331,27
332,27
333,27
334,27
335,27
336,27
