HOL,TSB
0,
1,18
2,18.2
3,18.4
4,18.5
5,18.7
6,18.8
7,19
8,19.1
9,19.3
10,19.4
11,19.6
12,19.7
13,19.9
14,20
15,20.1
16,20.3
17,20.4
18,20.6
19,20.7
20,20.8
21,20.9
22,21
23,21.1
24,21.4
25,21.5
26,21.6
27,21.7
28,21.9
29,22
30,22.1
31,22.2
32,22.3
33,22.4
34,22.6
35,22.7
36,22.8
37,22.9
38,23
39,23.1
40,23.2
41,23.3
42,23.4
43,23.5
44,23.6
45,23.7
46,23.7
47,23.8
48,24
49,24.1
50,24.2
51,24.3
52,24.4
53,24.5
54,24.6
55,24.7
56,24.7
57,24.8
58,24.9
59,25
60,25.1
61,25.2
62,25.2
63,25.3
64,25.4
65,25.5
66,25.5
67,25.6
68,25.7
69,25.7
70,25.7
71,25.8
72,25.9
73,26
74,26
75,26.1
76,26.2
77,26.2
78,26.3
79,26.3
80,26.4
81,26.4
82,26.5
83,26.5
84,26.6
85,26.6
86,26.7
87,26.7
88,26.7
89,26.8
90,26.8
91,26.9
92,26.9
93,26.9
94,26.9
95,27
96,27
97,27
98,27
99,27
100,27
101,27
102,27
103,27
104,27
105,27
106,27
107,27
108,27
109,27
110,27
111,27
112,27
113,27
114,27
115,27
116,27
117,27
118,27
119,27
120,27
121,27
122,27
123,27
124,27
125,27
126,27
127,27
128,27
129,27
130,27
131,27
132,27
133,27
134,27
135,27
136,27
137,27
138,27
139,27
140,27
141,27
142,27
143,27
144,27
145,27
146,27
147,27
148,27
149,27
150,27
151,27
152,27
153,27
154,27
155,27
156,27
157,27
158,27
159,27
160,27
161,27
162,27
163,27
164,27
165,27
166,27
167,27
168,27
169,27
170,27
171,27
172,27
173,27
174,27
175,27
176,27
177,27
178,27
179,27
180,27
181,27
182,27
183,27
184,27
185,27
186,27
187,27
188,27
189,27
190,27
191,27
192,27
193,27
194,27
195,27
196,27
197,27
198,27
199,27
200,27
201,27
202,27
203,27
204,27
205,27
206,27
207,27
208,27
209,27
210,27
211,27
212,27
213,27
214,27
215,27
216,27
217,27
218,27
219,27
220,27
221,27
222,27
223,27
224,27
225,27
226,27
227,27
228,27
229,27
230,27
231,27
232,27
233,27
234,27
235,27
236,27
237,27
238,27
239,27
240,27
241,27
242,27
243,27
244,27
245,27
246,27
247,27
248,27
249,27
250,27
251,27
252,27
253,27
254,27
255,27
256,27
257,27
258,27
259,27
260,27
261,27
262,27
263,27
264,27
265,27
266,27
267,27
268,27
269,27
270,27
271,27
272,27
273,27
274,27
275,27
276,27
277,27
278,27
279,27
280,27
281,27
282,27
283,27
284,27
285,27
286,27
287,27
288,27
289,27
290,27
291,27
292,27
293,27
294,27
295,27
296,27
297,27
298,27
299,27
300,27
301,27
302,27
303,27
304,27
305,27
306,27
307,27
308,27
309,27
310,27
311,27
312,27
313,27
314,27
315,27
316,27
317,27
318,27
319,27
320,27
321,27
322,27
323,27
324,27
325,27
326,27
327,27
328,27
329,27
330,27
331,27
332,27
333,27
334,27
335,27
336,27
