#Exchange transfusion threshold for infants GA 38 weeks or more with no neurological risk factors ,,
#All TSB threshold value beyound 96 hours is 27 mg/dL,,
#HOL stands for hours of life and TSB is total serum bilirubin,,
"#Data at HOL 21,45,69,93,117,141,165,189,213,237,261,285,309,333 are not available, they are imputated by averaging 2 nearest data",,
#datatype   int  float,,
HOL ,TSB,
0,,
1,18.0,
2,18.2,
3,18.4,
4,18.5,
5,18.7,
6,18.8,
7,19.0,
8,19.1,
9,19.3,
10,19.4,
11,19.6,
12,19.7,
13,19.9,
14,20.0,
15,20.1,
16,20.3,
17,20.4,
18,20.6,
19,20.7,
20,20.8,
21,20.9,
22,21.0,
23,21.1,
24,21.4,
25,21.5,
26,21.6,
27,21.7,
28,21.9,
29,22.0,
30,22.1,
31,22.2,
32,22.3,
33,22.4,
34,22.6,
35,22.7,
36,22.8,
37,22.9,
38,23.0,
39,23.1,
40,23.2,
41,23.3,
42,23.4,
43,23.5,
44,23.6,
45,23.7,
46,23.7,
47,23.8,
48,24.0,
49,24.1,
50,24.2,
51,24.3,
52,24.4,
53,24.5,
54,24.6,
55,24.7,
56,24.7,
57,24.8,
58,24.9,
59,25.0,
60,25.1,
61,25.2,
62,25.2,
63,25.3,
64,25.4,
65,25.5,
66,25.5,
67,25.6,
68,25.7,
69,25.7,
70,25.7,
71,25.8,
72,25.9,
73,26.0,
74,26.0,
75,26.1,
76,26.2,
77,26.2,
78,26.3,
79,26.3,
80,26.4,
81,26.4,
82,26.5,
83,26.5,
84,26.6,
85,26.6,
86,26.7,
87,26.7,
88,26.7,
89,26.8,
90,26.8,
91,26.9,
92,26.9,
93,26.9,
94,26.9,
95,27.0,
96,27.0,
97,27.0,
98,27.0,
99,27.0,
100,27.0,
101,27.0,
102,27.0,
103,27.0,
104,27.0,
105,27.0,
106,27.0,
107,27.0,
108,27.0,
109,27.0,
110,27.0,
111,27.0,
112,27.0,
113,27.0,
114,27.0,
115,27.0,
116,27.0,
117,27.0,
118,27.0,
119,27.0,
120,27.0,
121,27.0,
122,27.0,
123,27.0,
124,27.0,
125,27.0,
126,27.0,
127,27.0,
128,27.0,
129,27.0,
130,27.0,
131,27.0,
132,27.0,
133,27.0,
134,27.0,
135,27.0,
136,27.0,
137,27.0,
138,27.0,
139,27.0,
140,27.0,
141,27.0,
142,27.0,
143,27.0,
144,27.0,
145,27.0,
146,27.0,
147,27.0,
148,27.0,
149,27.0,
150,27.0,
151,27.0,
152,27.0,
153,27.0,
154,27.0,
155,27.0,
156,27.0,
157,27.0,
158,27.0,
159,27.0,
160,27.0,
161,27.0,
162,27.0,
163,27.0,
164,27.0,
165,27.0,
166,27.0,
167,27.0,
168,27.0,
169,27.0,
170,27.0,
171,27.0,
172,27.0,
173,27.0,
174,27.0,
175,27.0,
176,27.0,
177,27.0,
178,27.0,
179,27.0,
180,27.0,
181,27.0,
182,27.0,
183,27.0,
184,27.0,
185,27.0,
186,27.0,
187,27.0,
188,27.0,
189,27.0,
190,27.0,
191,27.0,
192,27.0,
193,27.0,
194,27.0,
195,27.0,
196,27.0,
197,27.0,
198,27.0,
199,27.0,
200,27.0,
201,27.0,
202,27.0,
203,27.0,
204,27.0,
205,27.0,
206,27.0,
207,27.0,
208,27.0,
209,27.0,
210,27.0,
211,27.0,
212,27.0,
213,27.0,
214,27.0,
215,27.0,
216,27.0,
217,27.0,
218,27.0,
219,27.0,
220,27.0,
221,27.0,
222,27.0,
223,27.0,
224,27.0,
225,27.0,
226,27.0,
227,27.0,
228,27.0,
229,27.0,
230,27.0,
231,27.0,
232,27.0,
233,27.0,
234,27.0,
235,27.0,
236,27.0,
237,27.0,
238,27.0,
239,27.0,
240,27.0,
241,27.0,
242,27.0,
243,27.0,
244,27.0,
245,27.0,
246,27.0,
247,27.0,
248,27.0,
249,27.0,
250,27.0,
251,27.0,
252,27.0,
253,27.0,
254,27.0,
255,27.0,
256,27.0,
257,27.0,
258,27.0,
259,27.0,
260,27.0,
261,27.0,
262,27.0,
263,27.0,
264,27.0,
265,27.0,
266,27.0,
267,27.0,
268,27.0,
269,27.0,
270,27.0,
271,27.0,
272,27.0,
273,27.0,
274,27.0,
275,27.0,
276,27.0,
277,27.0,
278,27.0,
279,27.0,
280,27.0,
281,27.0,
282,27.0,
283,27.0,
284,27.0,
285,27.0,
286,27.0,
287,27.0,
288,27.0,
289,27.0,
290,27.0,
291,27.0,
292,27.0,
293,27.0,
294,27.0,
295,27.0,
296,27.0,
297,27.0,
298,27.0,
299,27.0,
300,27.0,
301,27.0,
302,27.0,
303,27.0,
304,27.0,
305,27.0,
306,27.0,
307,27.0,
308,27.0,
309,27.0,
310,27.0,
311,27.0,
312,27.0,
313,27.0,
314,27.0,
315,27.0,
316,27.0,
317,27.0,
318,27.0,
319,27.0,
320,27.0,
321,27.0,
322,27.0,
323,27.0,
324,27.0,
325,27.0,
326,27.0,
327,27.0,
328,27.0,
329,27.0,
330,27.0,
331,27.0,
332,27.0,
333,27.0,
334,27.0,
335,27.0,
336,27.0,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
