#Exchange transfusion threshold for infants GA 35 weeks with at least one neurological risk factors ,,
#HOL stands for hours of life and TSB is total serum bilirubin,,
"#Data at HOL 21,45,69,93,117,141,165,189,213,237,261,285,309,333 are not available, they are imputated by averaging 2 nearest data",,
#datatype   int  float,,
HOL ,TSB,
0,,
1,13.1,
2,13.3,
3,13.4,
4,13.6,
5,13.7,
6,13.8,
7,14.0,
8,14.1,
9,14.3,
10,14.4,
11,14.5,
12,14.6,
13,14.8,
14,14.9,
15,15.0,
16,15.1,
17,15.3,
18,15.4,
19,15.5,
20,15.6,
21,15.7,
22,15.8,
23,15.9,
24,16.1,
25,16.2,
26,16.3,
27,16.4,
28,16.5,
29,16.6,
30,16.8,
31,16.9,
32,17.0,
33,17.1,
34,17.2,
35,17.3,
36,17.4,
37,17.5,
38,17.6,
39,17.7,
40,17.7,
41,17.8,
42,17.9,
43,18.0,
44,18.1,
45,18.2,
46,18.2,
47,18.3,
48,18.5,
49,18.5,
50,18.6,
51,18.7,
52,18.8,
53,18.9,
54,18.9,
55,19.0,
56,19.1,
57,19.2,
58,19.2,
59,19.3,
60,19.4,
61,19.4,
62,19.5,
63,19.6,
64,19.6,
65,19.7,
66,19.8,
67,19.8,
68,19.9,
69,19.9,
70,19.9,
71,20.0,
72,20.1,
73,20.2,
74,20.2,
75,20.3,
76,20.3,
77,20.4,
78,20.4,
79,20.5,
80,20.5,
81,20.6,
82,20.6,
83,20.6,
84,20.7,
85,20.7,
86,20.8,
87,20.8,
88,20.8,
89,20.9,
90,20.9,
91,20.9,
92,21.0,
93,21.0,
94,21.0,
95,21.0,
96,21.1,
97,21.1,
98,21.1,
99,21.1,
100,21.1,
101,21.1,
102,21.1,
103,21.1,
104,21.1,
105,21.2,
106,21.2,
107,21.2,
108,21.2,
109,21.2,
110,21.2,
111,21.2,
112,21.2,
113,21.2,
114,21.2,
115,21.3,
116,21.3,
117,21.3,
118,21.3,
119,21.3,
120,21.3,
121,21.3,
122,21.3,
123,21.3,
124,21.3,
125,21.4,
126,21.4,
127,21.4,
128,21.4,
129,21.4,
130,21.4,
131,21.4,
132,21.4,
133,21.4,
134,21.4,
135,21.4,
136,21.5,
137,21.5,
138,21.5,
139,21.5,
140,21.5,
141,21.5,
142,21.5,
143,21.5,
144,21.5,
145,21.5,
146,21.5,
147,21.6,
148,21.6,
149,21.6,
150,21.6,
151,21.6,
152,21.6,
153,21.6,
154,21.6,
155,21.6,
156,21.6,
157,21.6,
158,21.7,
159,21.7,
160,21.7,
161,21.7,
162,21.7,
163,21.7,
164,21.7,
165,21.7,
166,21.7,
167,21.7,
168,21.7,
169,21.8,
170,21.8,
171,21.8,
172,21.8,
173,21.8,
174,21.8,
175,21.8,
176,21.8,
177,21.8,
178,21.8,
179,21.8,
180,21.8,
181,21.9,
182,21.9,
183,21.9,
184,21.9,
185,21.9,
186,21.9,
187,21.9,
188,21.9,
189,21.9,
190,21.9,
191,21.9,
192,21.9,
193,22.0,
194,22.0,
195,22.0,
196,22.0,
197,22.0,
198,22.0,
199,22.0,
200,22.0,
201,22.0,
202,22.0,
203,22.0,
204,22.0,
205,22.0,
206,22.1,
207,22.1,
208,22.1,
209,22.1,
210,22.1,
211,22.1,
212,22.1,
213,22.1,
214,22.1,
215,22.1,
216,22.1,
217,22.1,
218,22.2,
219,22.2,
220,22.2,
221,22.2,
222,22.2,
223,22.2,
224,22.2,
225,22.2,
226,22.2,
227,22.2,
228,22.2,
229,22.2,
230,22.2,
231,22.2,
232,22.3,
233,22.3,
234,22.3,
235,22.3,
236,22.3,
237,22.3,
238,22.3,
239,22.3,
240,22.3,
241,22.3,
242,22.3,
243,22.3,
244,22.3,
245,22.3,
246,22.4,
247,22.4,
248,22.4,
249,22.4,
250,22.4,
251,22.4,
252,22.4,
253,22.4,
254,22.4,
255,22.4,
256,22.4,
257,22.4,
258,22.4,
259,22.4,
260,22.5,
261,22.5,
262,22.5,
263,22.5,
264,22.5,
265,22.5,
266,22.5,
267,22.5,
268,22.5,
269,22.5,
270,22.5,
271,22.5,
272,22.5,
273,22.5,
274,22.5,
275,22.6,
276,22.6,
277,22.6,
278,22.6,
279,22.6,
280,22.6,
281,22.6,
282,22.6,
283,22.6,
284,22.6,
285,22.6,
286,22.6,
287,22.6,
288,22.6,
289,22.6,
290,22.6,
291,22.7,
292,22.7,
293,22.7,
294,22.7,
295,22.7,
296,22.7,
297,22.7,
298,22.7,
299,22.7,
300,22.7,
301,22.7,
302,22.7,
303,22.7,
304,22.7,
305,22.7,
306,22.7,
307,22.7,
308,22.8,
309,22.8,
310,22.8,
311,22.8,
312,22.8,
313,22.8,
314,22.8,
315,22.8,
316,22.8,
317,22.8,
318,22.8,
319,22.8,
320,22.8,
321,22.8,
322,22.8,
323,22.8,
324,22.8,
325,22.9,
326,22.9,
327,22.9,
328,22.9,
329,22.9,
330,22.9,
331,22.9,
332,22.9,
333,22.9,
334,22.9,
335,22.9,
336,22.9,
337,22.9,
338,22.9,
339,22.9,
340,22.9,
341,22.9,
342,22.9,
343,22.9,
344,22.9,
345,22.9,
346,22.9,
347,22.9,
348,22.9,
349,22.9,
350,22.9,
351,22.9,
352,22.9,
353,22.9,
354,22.9,
355,22.9,
356,22.9,
358,22.9,
359,22.9,
