#Exchange transfusion threshold for infants GA 38 weeks or more with at least one neurological risk factors ,,
#HOL stands for hours of life and TSB is total serum bilirubin,,
"#Data at HOL 21,45,69,93,117,141,165,189,213,237,261,285,309,333 are not available, they are imputated by averaging 2 nearest data",,
#datatype   int  float,,
HOL ,TSB,
0,,
1,14.8,
2,15.0,
3,15.1,
4,15.2,
5,15.4,
6,15.5,
7,15.6,
8,15.8,
9,15.9,
10,16.0,
11,16.1,
12,16.3,
13,16.4,
14,16.5,
15,16.6,
16,16.7,
17,16.9,
18,17.0,
19,17.1,
20,17.2,
21,17.3,
22,17.3,
23,17.4,
24,17.7,
25,17.8,
26,17.9,
27,18.0,
28,18.1,
29,18.2,
30,18.3,
31,18.4,
32,18.5,
33,18.7,
34,18.8,
35,18.9,
36,19.0,
37,19.1,
38,19.2,
39,19.3,
40,19.4,
41,19.5,
42,19.6,
43,19.7,
44,19.8,
45,19.9,
46,19.9,
47,19.9,
48,20.1,
49,20.2,
50,20.3,
51,20.4,
52,20.5,
53,20.6,
54,20.7,
55,20.8,
56,20.8,
57,20.9,
58,21.0,
59,21.1,
60,21.2,
61,21.3,
62,21.3,
63,21.4,
64,21.5,
65,21.6,
66,21.7,
67,21.7,
68,21.8,
69,21.9,
70,21.9,
71,22.0,
72,22.1,
73,22.2,
74,22.2,
75,22.3,
76,22.4,
77,22.5,
78,22.5,
79,22.6,
80,22.7,
81,22.7,
82,22.8,
83,22.8,
84,22.9,
85,23.0,
86,23.0,
87,23.1,
88,23.1,
89,23.2,
90,23.3,
91,23.3,
92,23.4,
93,23.4,
94,23.4,
95,23.5,
96,23.5,
97,23.5,
98,23.5,
99,23.5,
100,23.5,
101,23.5,
102,23.5,
103,23.5,
104,23.5,
105,23.5,
106,23.5,
107,23.5,
108,23.5,
109,23.5,
110,23.5,
111,23.5,
112,23.5,
113,23.5,
114,23.5,
115,23.5,
116,23.5,
117,23.5,
118,23.5,
119,23.5,
120,23.5,
121,23.5,
122,23.5,
123,23.5,
124,23.5,
125,23.5,
126,23.5,
127,23.5,
128,23.5,
129,23.5,
130,23.5,
131,23.5,
132,23.5,
133,23.5,
134,23.5,
135,23.5,
136,23.5,
137,23.5,
138,23.5,
139,23.5,
140,23.5,
141,23.5,
142,23.5,
143,23.5,
144,23.5,
145,23.5,
146,23.5,
147,23.5,
148,23.5,
149,23.5,
150,23.5,
151,23.5,
152,23.5,
153,23.5,
154,23.5,
155,23.5,
156,23.5,
157,23.5,
158,23.5,
159,23.5,
160,23.5,
161,23.5,
162,23.5,
163,23.5,
164,23.5,
165,23.5,
166,23.5,
167,23.5,
168,23.5,
169,23.5,
170,23.5,
171,23.5,
172,23.5,
173,23.5,
174,23.5,
175,23.5,
176,23.5,
177,23.5,
178,23.5,
179,23.5,
180,23.5,
181,23.5,
182,23.5,
183,23.5,
184,23.5,
185,23.5,
186,23.5,
187,23.5,
188,23.5,
189,23.5,
190,23.5,
191,23.5,
192,23.5,
193,23.5,
194,23.5,
195,23.5,
196,23.5,
197,23.5,
198,23.5,
199,23.5,
200,23.5,
201,23.5,
202,23.5,
203,23.5,
204,23.5,
205,23.5,
206,23.5,
207,23.5,
208,23.5,
209,23.5,
210,23.5,
211,23.5,
212,23.5,
213,23.5,
214,23.5,
215,23.5,
216,23.5,
217,23.5,
218,23.5,
219,23.5,
220,23.5,
221,23.5,
222,23.5,
223,23.5,
224,23.5,
225,23.5,
226,23.5,
227,23.5,
228,23.5,
229,23.5,
230,23.5,
231,23.5,
232,23.5,
233,23.5,
234,23.5,
235,23.5,
236,23.5,
237,23.5,
238,23.5,
239,23.5,
240,23.5,
241,23.5,
242,23.5,
243,23.5,
244,23.5,
245,23.5,
246,23.5,
247,23.5,
248,23.5,
249,23.5,
250,23.5,
251,23.5,
252,23.5,
253,23.5,
254,23.5,
255,23.5,
256,23.5,
257,23.5,
258,23.5,
259,23.5,
260,23.5,
261,23.5,
262,23.5,
263,23.5,
264,23.5,
265,23.5,
266,23.5,
267,23.5,
268,23.5,
269,23.5,
270,23.5,
271,23.5,
272,23.5,
273,23.5,
274,23.5,
275,23.5,
276,23.5,
277,23.5,
278,23.5,
279,23.5,
280,23.5,
281,23.5,
282,23.5,
283,23.5,
284,23.5,
285,23.5,
286,23.5,
287,23.5,
288,23.5,
289,23.5,
290,23.5,
291,23.5,
292,23.5,
293,23.5,
294,23.5,
295,23.5,
296,23.5,
297,23.5,
298,23.5,
299,23.5,
300,23.5,
301,23.5,
302,23.5,
303,23.5,
304,23.5,
305,23.5,
306,23.5,
307,23.5,
308,23.5,
309,23.5,
310,23.5,
311,23.5,
312,23.5,
313,23.5,
314,23.5,
315,23.5,
316,23.5,
317,23.5,
318,23.5,
319,23.5,
320,23.5,
321,23.5,
322,23.5,
323,23.5,
324,23.5,
325,23.5,
326,23.5,
327,23.5,
328,23.5,
329,23.5,
330,23.5,
331,23.5,
332,23.5,
333,23.5,
334,23.5,
335,23.5,
336,23.5,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
