HOL,TSB 
0,
1,4.9
2,5.1
3,5.3
4,5.5
5,5.6
6,5.8
7,6
8,6.2
9,6.4
10,6.5
11,6.7
12,6.9
13,7.1
14,7.2
15,7.4
16,7.6
17,7.7
18,7.9
19,8.1
20,8.2
21,8.3
22,8.4
23,8.6
24,8.9
25,9
26,9.2
27,9.3
28,9.5
29,9.6
30,9.8
31,9.9
32,10.1
33,10.2
34,10.3
35,10.5
36,10.6
37,10.8
38,10.9
39,11
40,11.2
41,11.3
42,11.4
43,11.5
44,11.7
45,11.8
46,11.8
47,11.9
48,12.2
49,12.3
50,12.4
51,12.5
52,12.6
53,12.7
54,12.8
55,13
56,13.1
57,13.2
58,13.3
59,13.4
60,13.5
61,13.6
62,13.7
63,13.8
64,13.9
65,14
66,14.1
67,14.2
68,14.2
69,14.3
70,14.3
71,14.4
72,14.6
73,14.7
74,14.8
75,14.8
76,14.9
77,15
78,15.1
79,15.1
80,15.2
81,15.3
82,15.3
83,15.4
84,15.5
85,15.5
86,15.6
87,15.7
88,15.7
89,15.8
90,15.8
91,15.9
92,15.9
93,16
94,16
95,16.1
96,16.1
97,16.2
98,16.2
99,16.2
100,16.2
101,16.2
102,16.2
103,16.2
104,16.2
105,16.2
106,16.2
107,16.2
108,16.2
109,16.2
110,16.2
111,16.2
112,16.2
113,16.2
114,16.2
115,16.2
116,16.3
117,16.3
118,16.3
119,16.3
120,16.3
121,16.3
122,16.3
123,16.3
124,16.3
125,16.3
126,16.3
127,16.3
128,16.3
129,16.3
130,16.3
131,16.3
132,16.3
133,16.3
134,16.3
135,16.4
136,16.4
137,16.4
138,16.4
139,16.4
140,16.4
141,16.4
142,16.4
143,16.4
144,16.4
145,16.4
146,16.4
147,16.4
148,16.4
149,16.4
150,16.4
151,16.4
152,16.4
153,16.4
154,16.4
155,16.5
156,16.5
157,16.5
158,16.5
159,16.5
160,16.5
161,16.5
162,16.5
163,16.5
164,16.5
165,16.5
166,16.5
167,16.5
168,16.5
169,16.5
170,16.5
171,16.5
172,16.5
173,16.5
174,16.6
175,16.6
176,16.6
177,16.6
178,16.6
179,16.6
180,16.6
181,16.6
182,16.6
183,16.6
184,16.6
185,16.6
186,16.6
187,16.6
188,16.6
189,16.6
190,16.6
191,16.6
192,16.6
193,16.6
194,16.7
195,16.7
196,16.7
197,16.7
198,16.7
199,16.7
200,16.7
201,16.7
202,16.7
203,16.7
204,16.7
205,16.7
206,16.7
207,16.7
208,16.7
209,16.7
210,16.7
211,16.7
212,16.7
213,16.8
214,16.8
215,16.8
216,16.8
217,16.8
218,16.8
219,16.8
220,16.8
221,16.8
222,16.8
223,16.8
224,16.8
225,16.8
226,16.8
227,16.8
228,16.8
229,16.8
230,16.8
231,16.8
232,16.8
233,16.9
234,16.9
235,16.9
236,16.9
237,16.9
238,16.9
239,16.9
240,16.9
241,16.9
242,16.9
243,16.9
244,16.9
245,16.9
246,16.9
247,16.9
248,16.9
249,16.9
250,16.9
251,16.9
252,17
253,17
254,17
255,17
256,17
257,17
258,17
259,17
260,17
261,17
262,17
263,17
264,17
265,17
266,17
267,17
268,17
269,17
270,17
271,17
272,17.1
273,17.1
274,17.1
275,17.1
276,17.1
277,17.1
278,17.1
279,17.1
280,17.1
281,17.1
282,17.1
283,17.1
284,17.1
285,17.1
286,17.1
287,17.1
288,17.1
289,17.1
290,17.1
291,17.1
292,17.2
293,17.2
294,17.2
295,17.2
296,17.2
297,17.2
298,17.2
299,17.2
300,17.2
301,17.2
302,17.2
303,17.2
304,17.2
305,17.2
306,17.2
307,17.2
308,17.2
309,17.2
310,17.2
311,17.2
312,17.3
313,17.3
314,17.3
315,17.3
316,17.3
317,17.3
318,17.3
319,17.3
320,17.3
321,17.3
322,17.3
323,17.3
324,17.3
325,17.3
326,17.3
327,17.3
328,17.3
329,17.3
330,17.3
331,17.4
332,17.4
333,17.4
334,17.4
335,17.4
336,17.4
