HOL,TSB
0,
1,5.9
2,6.1
3,6.3
4,6.5
5,6.7
6,6.9
7,7
8,7.2
9,7.4
10,7.6
11,7.8
12,8
13,8.1
14,8.3
15,8.5
16,8.7
17,8.9
18,9
19,9.2
20,9.4
21,9.5
22,9.5
23,9.7
24,10
25,10.2
26,10.4
27,10.5
28,10.7
29,10.8
30,11
31,11.1
32,11.3
33,11.4
34,11.6
35,11.7
36,11.9
37,12
38,12.2
39,12.3
40,12.4
41,12.6
42,12.7
43,12.9
44,13
45,13.1
46,13.1
47,13.2
48,13.5
49,13.6
50,13.8
51,13.9
52,14
53,14.1
54,14.2
55,14.4
56,14.5
57,14.6
58,14.7
59,14.8
60,14.9
61,15
62,15.1
63,15.2
64,15.3
65,15.4
66,15.5
67,15.6
68,15.7
69,15.8
70,15.8
71,15.9
72,16.1
73,16.2
74,16.3
75,16.4
76,16
77,16.6
78,16.6
79,16.7
80,16.8
81,16.9
82,17
83,17
84,17.1
85,17.2
86,17.2
87,17.3
88,17.4
89,17.4
90,17.5
91,17.6
92,17.6
93,17.7
94,17.7
95,17.8
96,17.9
97,17.9
98,17.9
99,17.9
100,17.9
101,17.9
102,17.9
103,17.9
104,17.9
105,17.9
106,17.9
107,17.9
108,17.9
109,17.9
110,17.9
111,17.9
112,18
113,18
114,18
115,18
116,18
117,18
118,18
119,18
120,18
121,18
122,18
123,18
124,18
125,18
126,18
127,18
128,18
129,18
130,18
131,18.1
132,18.1
133,18.1
134,18.1
135,18.1
136,18.1
137,18.1
138,18.1
139,18.1
140,18.1
141,18.1
142,18.1
143,18.1
144,18.1
145,18.1
146,18.1
147,18.1
148,18.1
149,18.1
150,18.1
151,18.2
152,18.2
153,18.2
154,18.2
155,18.2
156,18.2
157,18.2
158,18.2
159,18.2
160,18.2
161,18.2
162,18.2
163,18.2
164,18.2
165,18.2
166,18.2
167,18.2
168,18.2
169,18.2
170,18.2
171,18.2
172,18.2
173,18.2
174,18.2
175,18.2
176,18.2
177,18.2
178,18.2
179,18.2
180,18.2
181,18.2
182,18.2
183,18.2
184,18.2
185,18.2
186,18.2
187,18.2
188,18.2
189,18.2
190,18.2
191,18.2
192,18.2
193,18.2
194,18.2
195,18.2
196,18.2
197,18.2
198,18.2
199,18.2
200,18.2
201,18.2
202,18.2
203,18.2
204,18.2
205,18.2
206,18.2
207,18.2
208,18.2
209,18.2
210,18.2
211,18.2
212,18.2
213,18.2
214,18.2
215,18.2
216,18.2
217,18.2
218,18.2
219,18.2
220,18.2
221,18.2
222,18.2
223,18.2
224,18.2
225,18.2
226,18.2
227,18.2
228,18.2
229,18.2
230,18.2
231,18.2
232,18.2
233,18.2
234,18.2
235,18.2
236,18.2
237,18.2
238,18.2
239,18.2
240,18.2
241,18.2
242,18.2
243,18.2
244,18.2
245,18.2
246,18.2
247,18.2
248,18.2
249,18.2
250,18.2
251,18.2
252,18.2
253,18.2
254,18.2
255,18.2
256,18.2
257,18.2
258,18.2
259,18.2
260,18.2
261,18.2
262,18.2
263,18.2
264,18.2
265,18.2
266,18.2
267,18.2
268,18.2
269,18.2
270,18.2
271,18.2
272,18.2
273,18.2
274,18.2
275,18.2
276,18.2
277,18.2
278,18.2
279,18.2
280,18.2
281,18.2
282,18.2
283,18.2
284,18.2
285,18.2
286,18.2
287,18.2
288,18.2
289,18.2
290,18.2
291,18.2
292,18.2
293,18.2
294,18.2
295,18.2
296,18.2
297,18.2
298,18.2
299,18.2
300,18.2
301,18.2
302,18.2
303,18.2
304,18.2
305,18.2
306,18.2
307,18.2
308,18.2
309,18.2
310,18.2
311,18.2
312,18.2
313,18.2
314,18.2
315,18.2
316,18.2
317,18.2
318,18.2
319,18.2
320,18.2
321,18.2
322,18.2
323,18.2
324,18.2
325,18.2
326,18.2
327,18.2
328,18.2
329,18.2
330,18.2
331,18.2
332,18.2
333,18.2
334,18.2
335,18.2
336,18.2
