HOL,TSB
0,
1,8.4
2,8.6
3,8.8
4,9
5,9.3
6,9.5
7,9.7
8,9.9
9,10
10,10.2
11,10.4
12,10.6
13,10.8
14,11
15,11.2
16,11.4
17,11.6
18,11.8
19,11.9
20,12.1
21,12.2
22,12.3
23,12.5
24,12.8
25,13
26,13.2
27,13.3
28,13.5
29,13.7
30,13.8
31,14
32,14.2
33,14.3
34,14.5
35,14.7
36,14.8
37,15
38,15.1
39,15.3
40,15.4
41,15.6
42,15.7
43,15.9
44,16
45,16.1
46,16.2
47,16.3
48,16.6
49,16.7
50,16.8
51,17
52,17.1
53,17.2
54,17.4
55,17.5
56,17.6
57,17.8
58,17.9
59,18
60,18.1
61,18.2
62,18.4
63,18.5
64,18.6
65,18.7
66,18.8
67,18.9
68,19
69,19.1
70,19.1
71,19.2
72,19.5
73,19.6
74,19.7
75,19.7
76,19.8
77,19.9
78,20
79,20.1
80,20.2
81,20.3
82,20.4
83,20.5
84,20.6
85,20.6
86,20.7
87,20.8
88,20.9
89,21
90,21
91,21.1
92,21.2
93,21.3
94,21.3
95,21.3
96,21.5
97,21.5
98,21.5
99,21.5
100,21.5
101,21.5
102,21.5
103,21.5
104,21.5
105,21.5
106,21.5
107,21.5
108,21.5
109,21.5
110,21.6
111,21.6
112,21.6
113,21.6
114,21.6
115,21.6
116,21.6
117,21.6
118,21.6
119,21.6
120,21.6
121,21.6
122,21.6
123,21.6
124,21.6
125,21.6
126,21.6
127,21.6
128,21.6
129,21.6
130,21.6
131,21.6
132,21.6
133,21.6
134,21.7
135,21.7
136,21.7
137,21.7
138,21.7
139,21.7
140,21.7
141,21.7
142,21.7
143,21.7
144,21.7
145,21.7
146,21.7
147,21.7
148,21.7
149,21.7
150,21.7
151,21.7
152,21.7
153,21.7
154,21.7
155,21.7
156,21.7
157,21.8
158,21.8
159,21.8
160,21.8
161,21.8
162,21.8
163,21.8
164,21.8
165,21.8
166,21.8
167,21.8
168,21.8
169,21.8
170,21.8
171,21.8
172,21.8
173,21.8
174,21.8
175,21.8
176,21.8
177,21.8
178,21.8
179,21.8
180,21.8
181,21.8
182,21.8
183,21.8
184,21.8
185,21.8
186,21.8
187,21.8
188,21.8
189,21.8
190,21.8
191,21.8
192,21.8
193,21.8
194,21.8
195,21.8
196,21.8
197,21.8
198,21.8
199,21.8
200,21.8
201,21.8
202,21.8
203,21.8
204,21.8
205,21.8
206,21.8
207,21.8
208,21.8
209,21.8
210,21.8
211,21.8
212,21.8
213,21.8
214,21.8
215,21.8
216,21.8
217,21.8
218,21.8
219,21.8
220,21.8
221,21.8
222,21.8
223,21.8
224,21.8
225,21.8
226,21.8
227,21.8
228,21.8
229,21.8
230,21.8
231,21.8
232,21.8
233,21.8
234,21.8
235,21.8
236,21.8
237,21.8
238,21.8
239,21.8
240,21.8
241,21.8
242,21.8
243,21.8
244,21.8
245,21.8
246,21.8
247,21.8
248,21.8
249,21.8
250,21.8
251,21.8
252,21.8
253,21.8
254,21.8
255,21.8
256,21.8
257,21.8
258,21.8
259,21.8
260,21.8
261,21.8
262,21.8
263,21.8
264,21.8
265,21.8
266,21.8
267,21.8
268,21.8
269,21.8
270,21.8
271,21.8
272,21.8
273,21.8
274,21.8
275,21.8
276,21.8
277,21.8
278,21.8
279,21.8
280,21.8
281,21.8
282,21.8
283,21.8
284,21.8
285,21.8
286,21.8
287,21.8
288,21.8
289,21.8
290,21.8
291,21.8
292,21.8
293,21.8
294,21.8
295,21.8
296,21.8
297,21.8
298,21.8
299,21.8
300,21.8
301,21.8
302,21.8
303,21.8
304,21.8
305,21.8
306,21.8
307,21.8
308,21.8
309,21.8
310,21.8
311,21.8
312,21.8
313,21.8
314,21.8
315,21.8
316,21.8
317,21.8
318,21.8
319,21.8
320,21.8
321,21.8
322,21.8
323,21.8
324,21.8
325,21.8
326,21.8
327,21.8
328,21.8
329,21.8
330,21.8
331,21.8
332,21.8
333,21.8
334,21.8
335,21.8
336,21.8
