#Phototherapy threshold for infants GA 38 weeks or more with at least one neurological risk factors ,,
#All TSB threshold value beyound 96 hours is 18.2 mg/dL,,
#HOL stands for hours of life and TSB is total serum bilirubin,,
"#Data at HOL 21,45,69,93,117,141,165,189,213,237,261,285,309,333 are not available, they are imputated by averaging 2 nearest data",,
#datatype   int  float,,
HOL ,TSB ,
0,,
1,6.4,
2,6.6,
3,6.8,
4,7.0,
5,7.2,
6,7.3,
7,7.5,
8,7.7,
9,7.9,
10,8.1,
11,8.3,
12,8.5,
13,8.6,
14,8.8,
15,9.0,
16,9.2,
17,9.4,
18,9.5,
19,9.7,
20,9.9,
21,10.0,
22,10.0,
23,10.2,
24,10.5,
25,10.7,
26,10.8,
27,11.0,
28,11.2,
29,11.3,
30,11.5,
31,11.6,
32,11.8,
33,11.9,
34,12.1,
35,12.2,
36,12.4,
37,12.5,
38,12.7,
39,12.8,
40,12.9,
41,13.1,
42,13.2,
43,13.3,
44,13.5,
45,13.6,
46,13.6,
47,13.7,
48,14.0,
49,14.1,
50,14.2,
51,14.4,
52,14.5,
53,14.6,
54,14.7,
55,14.8,
56,14.9,
57,15.1,
58,15.2,
59,15.3,
60,15.4,
61,15.5,
62,15.6,
63,15.7,
64,15.8,
65,15.9,
66,16.0,
67,16.1,
68,16.2,
69,16.3,
70,16.3,
71,16.4,
72,16.6,
73,16.6,
74,16.7,
75,16.8,
76,16.9,
77,17.0,
78,17.1,
79,17.1,
80,17.2,
81,17.3,
82,17.4,
83,17.4,
84,17.5,
85,17.6,
86,17.6,
87,17.7,
88,17.8,
89,17.8,
90,17.9,
91,18.0,
92,18.0,
93,18.1,
94,18.1,
95,18.1,
96,18.2,
97,18.2,
98,18.2,
99,18.2,
100,18.2,
101,18.2,
102,18.2,
103,18.2,
104,18.2,
105,18.2,
106,18.2,
107,18.2,
108,18.2,
109,18.2,
110,18.2,
111,18.2,
112,18.2,
113,18.2,
114,18.2,
115,18.2,
116,18.2,
117,18.2,
118,18.2,
119,18.2,
120,18.2,
121,18.2,
122,18.2,
123,18.2,
124,18.2,
125,18.2,
126,18.2,
127,18.2,
128,18.2,
129,18.2,
130,18.2,
131,18.2,
132,18.2,
133,18.2,
134,18.2,
135,18.2,
136,18.2,
137,18.2,
138,18.2,
139,18.2,
140,18.2,
141,18.2,
142,18.2,
143,18.2,
144,18.2,
145,18.2,
146,18.2,
147,18.2,
148,18.2,
149,18.2,
150,18.2,
151,18.2,
152,18.2,
153,18.2,
154,18.2,
155,18.2,
156,18.2,
157,18.2,
158,18.2,
159,18.2,
160,18.2,
161,18.2,
162,18.2,
163,18.2,
164,18.2,
165,18.2,
166,18.2,
167,18.2,
168,18.2,
169,18.2,
170,18.2,
171,18.2,
172,18.2,
173,18.2,
174,18.2,
175,18.2,
176,18.2,
177,18.2,
178,18.2,
179,18.2,
180,18.2,
181,18.2,
182,18.2,
183,18.2,
184,18.2,
185,18.2,
186,18.2,
187,18.2,
188,18.2,
189,18.2,
190,18.2,
191,18.2,
192,18.2,
193,18.2,
194,18.2,
195,18.2,
196,18.2,
197,18.2,
198,18.2,
199,18.2,
200,18.2,
201,18.2,
202,18.2,
203,18.2,
204,18.2,
205,18.2,
206,18.2,
207,18.2,
208,18.2,
209,18.2,
210,18.2,
211,18.2,
212,18.2,
213,18.2,
214,18.2,
215,18.2,
216,18.2,
217,18.2,
218,18.2,
219,18.2,
220,18.2,
221,18.2,
222,18.2,
223,18.2,
224,18.2,
225,18.2,
226,18.2,
227,18.2,
228,18.2,
229,18.2,
230,18.2,
231,18.2,
232,18.2,
233,18.2,
234,18.2,
235,18.2,
236,18.2,
237,18.2,
238,18.2,
239,18.2,
240,18.2,
241,18.2,
242,18.2,
243,18.2,
244,18.2,
245,18.2,
246,18.2,
247,18.2,
248,18.2,
249,18.2,
250,18.2,
251,18.2,
252,18.2,
253,18.2,
254,18.2,
255,18.2,
256,18.2,
257,18.2,
258,18.2,
259,18.2,
260,18.2,
261,18.2,
262,18.2,
263,18.2,
264,18.2,
265,18.2,
266,18.2,
267,18.2,
268,18.2,
269,18.2,
270,18.2,
271,18.2,
272,18.2,
273,18.2,
274,18.2,
275,18.2,
276,18.2,
277,18.2,
278,18.2,
279,18.2,
280,18.2,
281,18.2,
282,18.2,
283,18.2,
284,18.2,
285,18.2,
286,18.2,
287,18.2,
288,18.2,
289,18.2,
290,18.2,
291,18.2,
292,18.2,
293,18.2,
294,18.2,
295,18.2,
296,18.2,
297,18.2,
298,18.2,
299,18.2,
300,18.2,
301,18.2,
302,18.2,
303,18.2,
304,18.2,
305,18.2,
306,18.2,
307,18.2,
308,18.2,
309,18.2,
310,18.2,
311,18.2,
312,18.2,
313,18.2,
314,18.2,
315,18.2,
316,18.2,
317,18.2,
318,18.2,
319,18.2,
320,18.2,
321,18.2,
322,18.2,
323,18.2,
324,18.2,
325,18.2,
326,18.2,
327,18.2,
328,18.2,
329,18.2,
330,18.2,
331,18.2,
332,18.2,
333,18.2,
